WARNING:root:The OGB package is out of date. Your version is 1.3.5, while the latest version is 1.3.6.
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:157: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.weight
torch.Size([80, 1433])
m1.bias
torch.Size([80])
m2.weight
torch.Size([7, 80])
m2.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
Epoch: 001, Runtime 1.067596, Loss 1.947999, forward nfe 20, backward nfe 0, Train: 0.2571, Val: 0.1007, Test: 0.1137, Best time: 2.0000
Epoch: 002, Runtime 0.080501, Loss 1.758338, forward nfe 78, backward nfe 0, Train: 0.7286, Val: 0.3478, Test: 0.3563, Best time: 2.0000
Epoch: 003, Runtime 0.082780, Loss 1.456803, forward nfe 136, backward nfe 0, Train: 0.8929, Val: 0.5265, Test: 0.5482, Best time: 2.0000
Epoch: 004, Runtime 0.083431, Loss 1.167710, forward nfe 194, backward nfe 0, Train: 0.9357, Val: 0.6221, Test: 0.6467, Best time: 2.0000
Epoch: 005, Runtime 0.110517, Loss 0.890197, forward nfe 252, backward nfe 0, Train: 0.9643, Val: 0.6941, Test: 0.7015, Best time: 2.0000
Epoch: 006, Runtime 0.127008, Loss 0.641242, forward nfe 310, backward nfe 0, Train: 0.9857, Val: 0.7412, Test: 0.7411, Best time: 2.0000
Epoch: 007, Runtime 0.132685, Loss 0.451343, forward nfe 374, backward nfe 0, Train: 0.9929, Val: 0.7721, Test: 0.7604, Best time: 2.0000
Epoch: 008, Runtime 0.131000, Loss 0.290585, forward nfe 438, backward nfe 0, Train: 0.9929, Val: 0.7949, Test: 0.7777, Best time: 2.0000
Epoch: 009, Runtime 0.129608, Loss 0.206008, forward nfe 502, backward nfe 0, Train: 1.0000, Val: 0.7963, Test: 0.7980, Best time: 2.0000
Epoch: 010, Runtime 0.132671, Loss 0.185013, forward nfe 566, backward nfe 0, Train: 1.0000, Val: 0.7985, Test: 0.8000, Best time: 2.0000
Epoch: 011, Runtime 0.131079, Loss 0.124604, forward nfe 630, backward nfe 0, Train: 1.0000, Val: 0.7985, Test: 0.8000, Best time: 2.0000
Epoch: 012, Runtime 0.091612, Loss 0.136195, forward nfe 694, backward nfe 0, Train: 1.0000, Val: 0.7985, Test: 0.8000, Best time: 2.0000
Epoch: 013, Runtime 0.076139, Loss 0.114742, forward nfe 752, backward nfe 0, Train: 1.0000, Val: 0.7985, Test: 0.8000, Best time: 2.0000
