WARNING:root:The OGB package is out of date. Your version is 1.3.5, while the latest version is 1.3.6.
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torch_geometric/data/in_memory_dataset.py:157: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/BAND/USERS/jiaqid/miniconda3/envs/GRAND/lib/python3.10/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1, 'max_iters': 100}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.weight
torch.Size([128, 500])
m1.bias
torch.Size([128])
m2.weight
torch.Size([3, 128])
m2.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
Epoch: 001, Runtime 1.635079, Loss 1.099106, forward nfe 20, backward nfe 10, Train: 0.4167, Val: 0.4062, Test: 0.3879, Best time: 2.0000
Epoch: 002, Runtime 0.497071, Loss 1.083482, forward nfe 78, backward nfe 20, Train: 0.7333, Val: 0.5181, Test: 0.5243, Best time: 2.0000
Epoch: 003, Runtime 0.440251, Loss 1.061942, forward nfe 136, backward nfe 31, Train: 0.8167, Val: 0.5285, Test: 0.5748, Best time: 2.0000
Epoch: 004, Runtime 0.396009, Loss 1.039558, forward nfe 194, backward nfe 41, Train: 0.8500, Val: 0.5799, Test: 0.6018, Best time: 2.0000
Epoch: 005, Runtime 0.459101, Loss 1.010338, forward nfe 252, backward nfe 52, Train: 0.9000, Val: 0.6271, Test: 0.6430, Best time: 2.0000
Epoch: 006, Runtime 0.494664, Loss 0.986638, forward nfe 310, backward nfe 63, Train: 0.9000, Val: 0.6535, Test: 0.6761, Best time: 2.0000
Epoch: 007, Runtime 0.442314, Loss 0.943108, forward nfe 368, backward nfe 74, Train: 0.9000, Val: 0.6792, Test: 0.6928, Best time: 2.0000
Epoch: 008, Runtime 0.380949, Loss 0.897355, forward nfe 426, backward nfe 84, Train: 0.9000, Val: 0.6993, Test: 0.7031, Best time: 2.0000
Epoch: 009, Runtime 0.463123, Loss 0.843379, forward nfe 484, backward nfe 95, Train: 0.8833, Val: 0.7028, Test: 0.7071, Best time: 2.0000
Epoch: 010, Runtime 0.505685, Loss 0.811122, forward nfe 542, backward nfe 106, Train: 0.8833, Val: 0.7042, Test: 0.7122, Best time: 2.0000
Epoch: 011, Runtime 0.466862, Loss 0.771896, forward nfe 600, backward nfe 117, Train: 0.8833, Val: 0.7076, Test: 0.7170, Best time: 2.0000
Epoch: 012, Runtime 0.396795, Loss 0.704884, forward nfe 658, backward nfe 129, Train: 0.8833, Val: 0.7111, Test: 0.7208, Best time: 2.0000
Epoch: 013, Runtime 0.437434, Loss 0.673067, forward nfe 716, backward nfe 141, Train: 0.8833, Val: 0.7153, Test: 0.7246, Best time: 2.0000
Epoch: 014, Runtime 0.510248, Loss 0.621225, forward nfe 774, backward nfe 153, Train: 0.9167, Val: 0.7208, Test: 0.7277, Best time: 2.0000
Epoch: 015, Runtime 0.526594, Loss 0.579798, forward nfe 832, backward nfe 165, Train: 0.9167, Val: 0.7306, Test: 0.7350, Best time: 2.0000
Epoch: 016, Runtime 0.419581, Loss 0.559444, forward nfe 890, backward nfe 177, Train: 0.9167, Val: 0.7354, Test: 0.7412, Best time: 2.0000
Epoch: 017, Runtime 0.471591, Loss 0.506695, forward nfe 948, backward nfe 189, Train: 0.9167, Val: 0.7396, Test: 0.7447, Best time: 2.0000
Epoch: 018, Runtime 0.540971, Loss 0.446975, forward nfe 1006, backward nfe 202, Train: 0.9333, Val: 0.7417, Test: 0.7470, Best time: 2.0000
Epoch: 019, Runtime 0.487941, Loss 0.419470, forward nfe 1064, backward nfe 214, Train: 0.9500, Val: 0.7458, Test: 0.7488, Best time: 2.0000
Epoch: 020, Runtime 0.418043, Loss 0.412437, forward nfe 1122, backward nfe 226, Train: 0.9500, Val: 0.7458, Test: 0.7488, Best time: 2.0000
Epoch: 021, Runtime 0.462975, Loss 0.367499, forward nfe 1180, backward nfe 237, Train: 0.9500, Val: 0.7458, Test: 0.7488, Best time: 2.0000
Epoch: 022, Runtime 0.535266, Loss 0.347044, forward nfe 1238, backward nfe 249, Train: 0.9500, Val: 0.7458, Test: 0.7488, Best time: 2.0000
Epoch: 023, Runtime 0.461097, Loss 0.332979, forward nfe 1296, backward nfe 261, Train: 0.9500, Val: 0.7458, Test: 0.7488, Best time: 2.0000
Epoch: 024, Runtime 0.432607, Loss 0.258812, forward nfe 1354, backward nfe 273, Train: 0.9667, Val: 0.7465, Test: 0.7486, Best time: 2.0000
Epoch: 025, Runtime 0.486066, Loss 0.254074, forward nfe 1412, backward nfe 285, Train: 0.9667, Val: 0.7514, Test: 0.7520, Best time: 2.0000
Epoch: 026, Runtime 0.502265, Loss 0.232895, forward nfe 1470, backward nfe 296, Train: 0.9833, Val: 0.7549, Test: 0.7575, Best time: 2.0000
Epoch: 027, Runtime 0.446441, Loss 0.249555, forward nfe 1528, backward nfe 306, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 028, Runtime 0.415966, Loss 0.201952, forward nfe 1586, backward nfe 316, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 029, Runtime 0.465465, Loss 0.221065, forward nfe 1644, backward nfe 327, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 030, Runtime 0.496666, Loss 0.185158, forward nfe 1702, backward nfe 338, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 031, Runtime 0.453923, Loss 0.181272, forward nfe 1760, backward nfe 348, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 032, Runtime 0.441939, Loss 0.142082, forward nfe 1818, backward nfe 358, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 033, Runtime 0.455101, Loss 0.189173, forward nfe 1876, backward nfe 368, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 034, Runtime 0.462689, Loss 0.153048, forward nfe 1934, backward nfe 378, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 035, Runtime 0.457246, Loss 0.187848, forward nfe 1992, backward nfe 388, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 036, Runtime 0.448337, Loss 0.175346, forward nfe 2050, backward nfe 398, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 037, Runtime 0.423146, Loss 0.172076, forward nfe 2108, backward nfe 407, Train: 1.0000, Val: 0.7618, Test: 0.7643, Best time: 2.0000
Epoch: 038, Runtime 0.448414, Loss 0.201440, forward nfe 2166, backward nfe 417, Train: 1.0000, Val: 0.7722, Test: 0.7665, Best time: 2.0000
Epoch: 039, Runtime 0.442106, Loss 0.143202, forward nfe 2224, backward nfe 427, Train: 1.0000, Val: 0.7799, Test: 0.7726, Best time: 2.0000
Epoch: 040, Runtime 0.425211, Loss 0.138380, forward nfe 2282, backward nfe 436, Train: 1.0000, Val: 0.7806, Test: 0.7707, Best time: 2.0000
